srp_1,7f05c45f-ba04-40b6-b628-655ecd986dd8,EG,EGP,7900.0,9085.0,1362.8,active,
srp_2,7f05c45f-ba04-40b6-b628-655ecd986dd8,SA,SAR,,1703.0,256.0,pending_pricing,Awaiting regional pricing
srp_3,7f05c45f-ba04-40b6-b628-655ecd986dd8,AE,AED,,1658.0,249.0,pending_pricing,Awaiting regional pricing
srp_4,7f05c45f-ba04-40b6-b628-655ecd986dd8,GB,GBP,,363.0,55.0,pending_pricing,Awaiting regional pricing
srp_5,7f05c45f-ba04-40b6-b628-655ecd986dd8,US,USD,,454.0,68.0,pending_pricing,Awaiting regional pricing
srp_6,rad_mri_review,EG,EGP,7300.0,8395.0,1259.3,active,
srp_7,rad_mri_review,SA,SAR,,1574.0,236.0,pending_pricing,Awaiting regional pricing
srp_8,rad_mri_review,AE,AED,,1532.0,230.0,pending_pricing,Awaiting regional pricing
srp_9,rad_mri_review,GB,GBP,,336.0,50.0,pending_pricing,Awaiting regional pricing
srp_10,rad_mri_review,US,USD,,420.0,63.0,pending_pricing,Awaiting regional pricing
srp_11,rad_cxr_review,EG,EGP,550.0,633.0,95.0,active,
srp_12,rad_cxr_review,SA,SAR,,119.0,18.0,pending_pricing,Awaiting regional pricing
srp_13,rad_cxr_review,AE,AED,,116.0,17.0,pending_pricing,Awaiting regional pricing
srp_14,rad_cxr_review,GB,GBP,,25.0,4.0,pending_pricing,Awaiting regional pricing
srp_15,rad_cxr_review,US,USD,,32.0,5.0,pending_pricing,Awaiting regional pricing
srp_16,rad_us_review,EG,EGP,1500.0,1725.0,258.8,active,
srp_17,rad_us_review,SA,SAR,,323.0,49.0,pending_pricing,Awaiting regional pricing
srp_18,rad_us_review,AE,AED,,315.0,47.0,pending_pricing,Awaiting regional pricing
srp_19,rad_us_review,GB,GBP,,69.0,10.0,pending_pricing,Awaiting regional pricing
srp_20,rad_us_review,US,USD,,86.0,13.0,pending_pricing,Awaiting regional pricing
srp_21,rad_neuro_imaging,EG,EGP,4550.0,5233.0,784.9,active,
srp_22,rad_neuro_imaging,SA,SAR,,981.0,147.0,pending_pricing,Awaiting regional pricing
srp_23,rad_neuro_imaging,AE,AED,,955.0,143.0,pending_pricing,Awaiting regional pricing
srp_24,rad_neuro_imaging,GB,GBP,,209.0,31.0,pending_pricing,Awaiting regional pricing
srp_25,rad_neuro_imaging,US,USD,,262.0,39.0,pending_pricing,Awaiting regional pricing
srp_26,rad_spine_mri,EG,EGP,8100.0,9315.0,1397.3,active,
srp_27,rad_spine_mri,SA,SAR,,1747.0,262.0,pending_pricing,Awaiting regional pricing
srp_28,rad_spine_mri,AE,AED,,1700.0,255.0,pending_pricing,Awaiting regional pricing
srp_29,rad_spine_mri,GB,GBP,,373.0,56.0,pending_pricing,Awaiting regional pricing
srp_30,rad_spine_mri,US,USD,,466.0,70.0,pending_pricing,Awaiting regional pricing
srp_31,rad_ct_mr_angio,EG,EGP,15200.0,17480.0,2622.0,active,
srp_32,rad_ct_mr_angio,SA,SAR,,3278.0,492.0,pending_pricing,Awaiting regional pricing
srp_33,rad_ct_mr_angio,AE,AED,,3190.0,479.0,pending_pricing,Awaiting regional pricing
srp_34,rad_ct_mr_angio,GB,GBP,,699.0,105.0,pending_pricing,Awaiting regional pricing
srp_35,rad_ct_mr_angio,US,USD,,874.0,131.0,pending_pricing,Awaiting regional pricing
srp_36,rad_onc_petct_staging,EG,EGP,,,,not_available,
srp_37,rad_onc_petct_staging,SA,SAR,,,,pending_pricing,Awaiting regional pricing
srp_38,rad_onc_petct_staging,AE,AED,,,,pending_pricing,Awaiting regional pricing
srp_39,rad_onc_petct_staging,GB,GBP,,,,pending_pricing,Awaiting regional pricing
srp_40,rad_onc_petct_staging,US,USD,,,,pending_pricing,Awaiting regional pricing
srp_41,rad_abd_pelvis_ct_mri,EG,EGP,7000.0,8050.0,1207.5,active,
srp_42,rad_abd_pelvis_ct_mri,SA,SAR,,1509.0,226.0,pending_pricing,Awaiting regional pricing
srp_43,rad_abd_pelvis_ct_mri,AE,AED,,1469.0,220.0,pending_pricing,Awaiting regional pricing
srp_44,rad_abd_pelvis_ct_mri,GB,GBP,,322.0,48.0,pending_pricing,Awaiting regional pricing
srp_45,rad_abd_pelvis_ct_mri,US,USD,,403.0,60.0,pending_pricing,Awaiting regional pricing
srp_46,rad_msk_imaging,EG,EGP,1600.0,1840.0,276.0,active,
srp_47,rad_msk_imaging,SA,SAR,,345.0,52.0,pending_pricing,Awaiting regional pricing
srp_48,rad_msk_imaging,AE,AED,,336.0,50.0,pending_pricing,Awaiting regional pricing
srp_49,rad_msk_imaging,GB,GBP,,74.0,11.0,pending_pricing,Awaiting regional pricing
srp_50,rad_msk_imaging,US,USD,,92.0,14.0,pending_pricing,Awaiting regional pricing
srp_51,rad_cardiac_ct,EG,EGP,6900.0,7935.0,1190.3,active,
srp_52,rad_cardiac_ct,SA,SAR,,1488.0,223.0,pending_pricing,Awaiting regional pricing
srp_53,rad_cardiac_ct,AE,AED,,1448.0,217.0,pending_pricing,Awaiting regional pricing
srp_54,rad_cardiac_ct,GB,GBP,,317.0,48.0,pending_pricing,Awaiting regional pricing
srp_55,rad_cardiac_ct,US,USD,,397.0,60.0,pending_pricing,Awaiting regional pricing
srp_56,rad_cardiac_mri,EG,EGP,7300.0,8395.0,1259.3,active,
srp_57,rad_cardiac_mri,SA,SAR,,1574.0,236.0,pending_pricing,Awaiting regional pricing
srp_58,rad_cardiac_mri,AE,AED,,1532.0,230.0,pending_pricing,Awaiting regional pricing
